Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Acheivement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Acheivement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Acheivement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some Unviersity Education,Percentage of JK-Grade 3 Classes With 20 Students or Fewer,Percentage of JK-Grade 3 Classes With 23 Students or Fewer,Extract Date
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),037125,Bayview Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,845 Ottawa,Midland,Midland,Ontario,L4R1C9,705-526-4208,705-526-4465,http://bay.scdsb.on.ca,http://www.scdsb.on.ca, 330 ,44.74802,-79.90354,SP,100,NA,SP,13.6,SP,68%,NA,68%,NA,68%,NA,59%,NA,53%,NA,26%,NA,NA,NA,NA,NA,NA,NA,17.8,13.47,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),894060,Bear Creek Secondary School,Public,Not applicable,Secondary,English,9-12,NA,NA,100 Red Oak,Barrie,Barrie,Ontario,L4N9M5,705-725-7712,705-720-1088,http://bss.scdsb.on.ca ,http://www.scdsb.on.ca," 1,506 ",44.33173,-79.73371,4.2,99.6,0.7,0.8,24.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81%,-2,51%,9,79%,-1,14.14,9.48,NA,NA,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),032298,Birchview Dunes Elementary School,Public,Not applicable,Elementary,English,JK-8,NA,NA,1315 River,Wasaga Beach,Wasaga Beach,Ontario,L9Z2W6,705-429-2551,705-429-2559,http://bir.scdsb.on.ca,http://www.scdsb.on.ca, 685 ,44.51183,-80.0248,SP,99.6,SP,SP,16.8,NA,56%,NA,62%,NA,46%,NA,71%,NA,65%,NA,23%,NA,NA,NA,NA,NA,NA,NA,22.35,8.77,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),028130,Boyne River Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,117 John W Taylor,New Tecumseth,Alliston,Ontario,L9R0E7,NA,NA,http://byr.scdsb.on.ca,http://www.scdsb.on.ca, NA ,44.16239,-79.85321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),899701,Bradford Campus,Public,Adult,Secondary,English,9-12,NA,1436,157 Holland,Bradford-West Gwillimbury,BRADFORD,Ontario,L3Z2B7,905-775-4432,905-778-2082,http://thelearningcentres.com/ ,http://www.scdsb.on.ca, 18 ,44.11578,-79.55911,SP,100,SP,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,NA,SP,SP,NA,NA,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),895792,Bradford District High School,Public,Not applicable,Secondary,English,9-12,NA,NA,70 Professor Day,Bradford-West Gwillimbury,Bradford,Ontario,L3Z2A3,905-775-2262,905-775-3192,http://bdh.scdsb.on.ca ,http://www.scdsb.on.ca," 1,093 ",44.11248,-79.58019,11.3,99.7,1.6,1.9,29.2,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84%,-9,52%,-12,84%,3,13.64,3.97,NA,NA,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),060445,Brechin Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,3226 County Rd,Ramara,Brechin,Ontario,L0K1B0,705-484-5711,705-484-5539,http://bre.scdsb.on.ca,http://www.scdsb.on.ca, 181 ,44.54689,-79.18051,NA,100,NA,NA,15.5,NA,91%,NA,95%,NA,91%,NA,84%,NA,89%,NA,32%,NA,NA,NA,NA,NA,NA,NA,15.69,13.28,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),071960,Byng Public School,Public,Not applicable,Elementary,English,JK-8,NA,Box 320,239 William,Clearview,Stayner,Ontario,L0M1S0,705-428-2245,705-428-6789,http://byg.scdsb.on.ca,http://www.scdsb.on.ca, 272 ,44.41821,-80.09063,NA,100,SP,SP,16.2,NA,59%,NA,56%,NA,44%,NA,100%,NA,67%,NA,47%,NA,NA,NA,NA,NA,NA,NA,15.29,11.78,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),080268,Cameron Street Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,575 Cameron,Collingwood,Collingwood,Ontario,L9Y2J4,705-445-2902,705-445-9811,http://cam.scdsb.on.ca,http://www.scdsb.on.ca, 495 ,44.48804,-80.21964,NA,100,NA,SP,15.8,NA,75%,NA,67%,NA,67%,NA,100%,NA,83%,NA,33%,NA,NA,NA,NA,NA,NA,NA,12.9,22.39,0.8,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),456756,Chris Hadfield Public School,Public,Not applicable,Elementary,English,JK-8,NA,434,177 Church,Bradford-West Gwillimbury,Bradford,Ontario,L3Z1L9,NA,NA,http://had.scdsb.on.ca,http://www.scdsb.on.ca, 563 ,44.11824,-79.56923,32.1,100,3,3,9.4,SP,87%,NA,93%,NA,74%,NA,76%,NA,67%,NA,49%,NA,NA,NA,NA,NA,NA,NA,10.34,17.54,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),111465,Clearview Meadows Elementary School,Public,Not applicable,Elementary,English,JK-8,NA,NA,12 Locke,Clearview,Stayner,Ontario,L0M1S0,705-428-2907,705-428-4433,http://cle.scdsb.on.ca,http://www.scdsb.on.ca, 272 ,44.4264,-80.09502,SP,100,SP,SP,14.3,NA,72%,NA,67%,NA,67%,NA,92%,NA,84%,NA,40%,NA,NA,NA,NA,NA,NA,NA,15.26,11.76,0.75,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),114472,Codrington Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,217 Codrington,Barrie,Barrie,Ontario,L4M1S4,705-728-3084,705-728-1762,http://cod.scdsb.on.ca,http://www.scdsb.on.ca, 309 ,44.39678,-79.67351,SP,100,SP,SP,35.9,21,80%,NA,70%,NA,80%,NA,92%,NA,86%,NA,54%,NA,NA,NA,NA,NA,NA,NA,20.52,20.02,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),116815,Coldwater Public School,Public,Not applicable,Elementary,English,JK-8,NA,Box 369,3 John,Severn,Coldwater,Ontario,L0K1E0,705-686-7780,705-686-3917,http://col.scdsb.on.ca,http://www.scdsb.on.ca, 283 ,44.71132,-79.63895,NA,100,NA,NA,22.6,SP,65%,NA,58%,NA,51%,NA,77%,NA,60%,NA,44%,NA,NA,NA,NA,NA,NA,NA,9.14,15.04,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),902915,Collingwood Campus,Public,Adult,Secondary,English,9-12,NA,NA,180 Ontario,Collingwood,Collingwood,Ontario,L9Y1M6,705-445-9019,705-445-6362,http://thelearningcentres.com/ ,http://www.scdsb.on.ca, 23 ,44.50062,-80.2114,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,NA,SP,SP,NA,NA,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),902551,Collingwood Collegiate Institute,Public,Not applicable,Secondary,English,9-12,NA,NA,6 Cameron,Collingwood,Collingwood,Ontario,L9Y2J2,705-445-3161,705-444-9270,http://cci.scdsb.on.ca,http://www.scdsb.on.ca," 1,320 ",44.48727,-80.21498,2.7,99.8,SP,SP,27.7,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77%,5,37%,-7,87%,4,21.82,12.12,NA,NA,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),383708,Connaught Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,300 Peel,Collingwood,Collingwood,Ontario,L9Y3W2,705-445-1241,705-445-7937,http://con.scdsb.on.ca,http://www.scdsb.on.ca, 241 ,44.49928,-80.20611,NA,100,NA,NA,27,NA,52%,NA,30%,NA,19%,NA,58%,NA,50%,NA,33%,NA,NA,NA,NA,NA,NA,NA,29.91,10.25,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),185973,Cookstown Central Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,5088 Cty Rd,Essa,Cookstown,Ontario,L0L1L0,705-458-4461,705-458-4814,http://ckt.scdsb.on.ca,http://www.scdsb.on.ca, 652 ,44.196,-79.70354,SP,100,SP,SP,18.7,5.5,59%,NA,51%,NA,64%,NA,80%,NA,73%,NA,48%,NA,NA,NA,NA,NA,NA,NA,7,27.62,0.667,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),125482,Couchiching Heights Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,455 LACLIE,Orillia,ORILLIA,Ontario,L3V4P7,705-325-9311,705-325-8099,http://cou.scdsb.on.ca,http://www.scdsb.on.ca, 316 ,44.62823,-79.42327,SP,100,NA,NA,21.5,NA,65%,NA,65%,NA,60%,NA,71%,NA,60%,NA,29%,NA,NA,NA,NA,NA,NA,NA,15.52,7.57,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),130893,Cundles Heights Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,60 Cundles,Barrie,Barrie,Ontario,L4M2Z7,705-728-9658,705-728-1076,http://cun.scdsb.on.ca,http://www.scdsb.on.ca, 323 ,44.40799,-79.69902,3.4,100,SP,SP,27.6,SP,68%,NA,68%,NA,52%,NA,69%,NA,69%,NA,9%,NA,NA,NA,NA,NA,NA,NA,24.59,3.6,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),160172,East Oro Public School,Public,Not applicable,Elementary,English,JK-8,RR 1,NA,744 th,Oro-Medonte,Hawkestone,Ontario,L0L1T0,705-487-2047,705-487-2048,http://eor.scdsb.on.ca,http://www.scdsb.on.ca, 224 ,44.52829,-79.49518,SP,100,NA,NA,20.5,NA,69%,NA,73%,NA,62%,NA,93%,NA,77%,NA,40%,NA,NA,NA,NA,NA,NA,NA,11.82,7.93,0.667,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),907383,Eastview Secondary School,Public,Not applicable,Secondary,English,9-12,NA,NA,421 Grove,Barrie,Barrie,Ontario,L4M5S1,705-728-1321,705-728-6053,http://eas.scdsb.on.ca,http://www.scdsb.on.ca," 1,428 ",44.40571,-79.66101,4,99.8,1,1,25.6,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89%,2,53%,3,88%,5,19.47,8.99,NA,NA,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),908274,Elmvale District High School,Public,Not applicable,Secondary,English,9-12,NA,Box 220,25 Lawson,Springwater,Elmvale,Ontario,L0L1P0,705-322-2201,705-322-3714,http://elm.scdsb.on.ca,http://www.scdsb.on.ca, 401 ,44.57957,-79.86481,3.7,99.8,SP,SP,22.4,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51%,-28,36%,-17,93%,24,15.52,3.53,NA,NA,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),181323,Emma King Elementary School,Public,Not applicable,Elementary,English,JK-8,NA,NA,383 Cundles,Barrie,Barrie,Ontario,L4N7C7,705-728-5401,705-727-7672,http://emk.scdsb.on.ca,http://www.scdsb.on.ca, 354 ,44.3965,-79.73181,4,100,SP,SP,11.9,NA,82%,NA,74%,NA,76%,NA,91%,NA,70%,NA,39%,NA,NA,NA,NA,NA,NA,NA,13.02,14.09,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),181757,Ernest Cumberland Elementary School,Public,Not applicable,Elementary,English,JK-8,NA,NA,160 Eighth,New Tecumseth,Alliston,Ontario,L9R1A5,705-435-0676,705-435-0103,http://ern.scdsb.on.ca,http://www.scdsb.on.ca, 647 ,44.14253,-79.88149,3.6,100,SP,SP,17.5,SP,69%,NA,75%,NA,65%,NA,67%,NA,67%,NA,33%,NA,NA,NA,NA,NA,NA,NA,9.78,11.62,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),195812,Ferndale Woods Elementary School,Public,Not applicable,Elementary,English,JK-8,NA,NA,170 Ferndale,Barrie,Barrie,Ontario,L4N8A1,705-733-5636,705-733-0723,http://fer.scdsb.on.ca,http://www.scdsb.on.ca, 601 ,44.35795,-79.71613,1.7,100,SP,SP,13.1,SP,78%,NA,82%,NA,59%,NA,74%,NA,76%,NA,29%,NA,NA,NA,NA,NA,NA,NA,11.08,12.67,0.769,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),384550,Fieldcrest Elementary School,Public,Not applicable,Elementary,English,JK-8,NA,NA,100 Professor Day,Bradford-West Gwillimbury,Bradford,Ontario,L3Z2B5,905-778-2010,905-778-2021,http://fld.scdsb.on.ca,http://www.scdsb.on.ca, 692 ,44.11542,-79.58128,21.8,100,4.9,5.3,10.4,NA,65%,NA,79%,NA,51%,NA,84%,NA,86%,NA,63%,NA,NA,NA,NA,NA,NA,NA,11.16,18.97,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),201464,Forest Hill Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,16 Doran,Springwater,Midhurst,Ontario,L0L1X0,705-721-8300,705-721-8338,http://for.scdsb.on.ca,http://www.scdsb.on.ca, 628 ,44.44927,-79.73982,SP,99.8,SP,1.6,13.1,1.6,86%,NA,90%,NA,86%,NA,96%,NA,91%,NA,75%,NA,NA,NA,NA,NA,NA,NA,13.84,30.31,0.7,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),073065,Fred C Cook Public School,Public,Not applicable,Elementary,English,JK-8,NA,434,177 Church,Bradford-West Gwillimbury,Bradford,Ontario,L3Z1L9,905-775-2172,NA,http://fcc.scdsb.on.ca,http://www.scdsb.on.ca, 424 ,44.12006,-79.56725,6.6,100,SP,SP,13.9,NA,88%,NA,88%,NA,65%,NA,80%,NA,69%,NA,31%,NA,NA,NA,NA,NA,NA,NA,12.63,18.8,0.5,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),928151,Georgian Bay District Secondary School,Public,Not applicable,Secondary,English,9-12,NA,NA,865 Hugel,Midland,Midland,Ontario,L4R1X9,705-526-7817,NA,http://gbd.scdsb.on.ca ,http://www.scdsb.on.ca, NA ,44.7420644,-79.9013503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/R,NA,18%,NA,73%,NA,NA,NA,NA,NA,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),221740,Goodfellow Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,827 th,Innisfil,Innisfil,Ontario,L9S1A6,705-436-3600,705-436-1878,http://goo.scdsb.on.ca,http://www.scdsb.on.ca, 688 ,44.32784,-79.54481,1.9,99.9,SP,SP,13.2,NA,71%,NA,54%,NA,56%,NA,79%,NA,73%,NA,22%,NA,NA,NA,NA,NA,NA,NA,11.28,6.03,0.846,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),233480,Guthrie Public School,Public,Not applicable,Elementary,English,JK-8,NA,1,22,Oro-Medonte,ORO STATION,Ontario,L0L2E0,705-487-2532,705-487-1973,http://gut.scdsb.on.ca,http://www.scdsb.on.ca, 462 ,44.46513,-79.56509,SP,99.8,SP,SP,14.3,SP,85%,NA,81%,NA,78%,NA,94%,NA,96%,NA,70%,NA,NA,NA,NA,NA,NA,NA,10.35,13.29,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),244996,Harriett Todd Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,11 George,Orillia,Orillia,Ontario,L3V2V1,705-325-9388,705-329-2101,http://har.scdsb.on.ca,http://www.scdsb.on.ca, 458 ,44.59856,-79.4323,SP,100,SP,SP,21,NA,79%,NA,72%,NA,69%,NA,43%,NA,27%,NA,5%,NA,NA,NA,NA,NA,NA,NA,27.1,SP,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),485183,Hewitt's Creek Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,41 Sandringham,Barrie,Barrie,Ontario,L4N3P4,NA,NA,http://hew.scdsb.on.ca,http://www.scdsb.on.ca, 670 ,44.35964,-79.62134,4.2,100,SP,SP,10.9,SP,91%,NA,88%,NA,80%,NA,89%,NA,87%,NA,45%,NA,NA,NA,NA,NA,NA,NA,7.58,37.84,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),257346,Hillcrest Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,184 Toronto,Barrie,Barrie,Ontario,L4N1V5,705-728-5246,705-739-2342,http://hil.scdsb.on.ca,http://www.scdsb.on.ca, 619 ,44.39403,-79.69894,3.7,100,SP,SP,15.8,SP,66%,NA,56%,NA,48%,NA,92%,NA,80%,NA,58%,NA,NA,NA,NA,NA,NA,NA,18.34,9.38,0.7,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),595047,Hillsdale Elementary School,Public,Not applicable,Elementary,English,JK-8,NA,NA,16 Albert,Oro-Medonte,Hillsdale,Ontario,L0L1V0,705-835-2108,705-835-6308,http://hid.scdsb.on.ca,http://www.scdsb.on.ca, 208 ,44.5831,-79.76042,SP,100,NA,NA,16.3,NA,60%,NA,40%,NA,50%,NA,80%,NA,70%,NA,43%,NA,NA,NA,NA,NA,NA,NA,9.13,8.51,0.667,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),263079,Holly Meadows Elementary School,Public,Not applicable,Elementary,English,JK-8,NA,NA,151 Mapleton,Barrie,Barrie,Ontario,L4N9N7,705-733-2633,705-733-2496,http://hol.scdsb.on.ca,http://www.scdsb.on.ca, 663 ,44.34017,-79.71497,3,99.8,SP,1.8,13.4,NA,67%,NA,63%,NA,48%,NA,54%,NA,59%,NA,20%,NA,NA,NA,NA,NA,NA,NA,12.29,8.95,0.875,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),595861,Hon Earl Rowe Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,2516 Gwillimbury,Bradford-West Gwillimbury,Bradford,Ontario,L3Z2A5,905-775-3031,905-775-2921,http://her.scdsb.on.ca,http://www.scdsb.on.ca, 159 ,44.17521093,-79.58264459,8.8,100,SP,SP,15.1,NA,71%,NA,94%,NA,82%,NA,94%,NA,94%,NA,94%,NA,NA,NA,NA,NA,NA,NA,9.69,24.94,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),273988,Huron Park Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,425 Robert,Midland,Midland,Ontario,L4R2M2,705-526-5300,705-526-9151,http://hur.scdsb.on.ca,http://www.scdsb.on.ca, 345 ,44.74359,-79.87635,NA,99.7,NA,NA,27.8,SP,65%,NA,65%,NA,48%,NA,77%,NA,73%,NA,33%,NA,NA,NA,NA,NA,NA,NA,23.76,9.27,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),274542,Huronia Centennial Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,28 Simcoe,Springwater,Elmvale,Ontario,L0L1P0,705-322-1281,705-322-1531,http://huc.scdsb.on.ca,http://www.scdsb.on.ca, 523 ,44.58142,-79.86198,SP,100,NA,SP,16.1,SP,76%,NA,73%,NA,61%,NA,65%,NA,65%,NA,25%,NA,NA,NA,NA,NA,NA,NA,11.34,13.42,0.714,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),225946,Hyde Park Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,72 The Queensway,Barrie,Barrie,Ontario,L4M7J3,NA,NA,http://hyd.scdsb.on.ca,http://www.scdsb.on.ca, 559 ,44.35975,-79.60687,7.5,99.8,SP,SP,12.7,SP,94%,NA,95%,NA,91%,NA,94%,NA,100%,NA,71%,NA,NA,NA,NA,NA,NA,NA,9.1,25.97,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),918253,Innisdale Secondary School,Public,Not applicable,Secondary,English,9-12,NA,NA,95 Little,Barrie,Barrie,Ontario,L4N2Z4,705-726-2552,705-726-5422,http://iss.scdsb.on.ca,http://www.scdsb.on.ca," 1,579 ",44.36064,-79.68367,5.6,99.8,0.8,0.9,24.3,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68%,-14,20%,-33,89%,4,16.33,10.19,NA,NA,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),275670,Innisfil Central Public School,Public,Not applicable,Elementary,English,JK-8,NA,RR 1,2075 th,Innisfil,Lefroy,Ontario,L0L1W0,705-456-2534,705-456-7378,http://inn.scdsb.on.ca,http://www.scdsb.on.ca, 168 ,44.26491,-79.59715,SP,100,SP,SP,15.5,NA,81%,NA,62%,NA,62%,NA,100%,NA,88%,NA,41%,NA,NA,NA,NA,NA,NA,NA,11.1,18.84,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),124761,James Keating Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,20 Lorne,Penetanguishene,Penetanguishene,Ontario,L9M1B2,705-549-8381,705-549-2621,http://jke.scdsb.on.ca,http://www.scdsb.on.ca, 278 ,44.77387,-79.92614,SP,100,SP,SP,23.4,NA,41%,NA,32%,NA,50%,NA,58%,NA,77%,NA,19%,NA,NA,NA,NA,NA,NA,NA,19.02,SP,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),285684,Johnson Street Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,105 Johnson,Barrie,Barrie,Ontario,L4M4R4,705-728-9251,705-728-5754,http://jon.scdsb.on.ca,http://www.scdsb.on.ca, 244 ,44.39964,-79.65597,SP,100,SP,SP,17.6,NA,62%,NA,38%,NA,54%,NA,74%,NA,74%,NA,26%,NA,NA,NA,NA,NA,NA,NA,17.04,12.07,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),311251,Killarney Beach Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,850 th,Innisfil,Lefroy,Ontario,L0L1K0,705-456-2630,705-456-3107,http://kbe.scdsb.on.ca,http://www.scdsb.on.ca, 293 ,44.25742,-79.56466,SP,100,SP,SP,19.8,SP,73%,NA,73%,NA,73%,NA,89%,NA,89%,NA,63%,NA,NA,NA,NA,NA,NA,NA,12.09,4.5,0.75,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),034808,Lake Simcoe Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,1701 Webster,Innisfil,Innisfil,Ontario,L9S4W2,NA,NA,http://las.scdsb.on.ca,http://www.scdsb.on.ca, NA ,44.29789,-79.55761,NA,NA,NA,NA,NA,NA,84%,NA,89%,NA,64%,NA,81%,NA,74%,NA,48%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),087934,Lions Oval Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,25 BRANT,Orillia,ORILLIA,Ontario,L3V3N6,NA,NA,http://ovl.scdsb.on.ca,http://www.scdsb.on.ca, 459 ,44.61236,-79.42426,SP,99.8,SP,SP,27.5,NA,58%,NA,58%,NA,33%,NA,70%,NA,62%,NA,21%,NA,NA,NA,NA,NA,NA,NA,24.83,4.14,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),334820,Maple Grove Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,242 Grove,Barrie,Barrie,Ontario,L4M2P9,705-728-5201,705-728-0281,http://map.scdsb.on.ca,http://www.scdsb.on.ca, 456 ,44.40595,-79.67845,5.3,100,SP,SP,17.5,NA,62%,NA,54%,NA,58%,NA,80%,NA,49%,NA,34%,NA,NA,NA,NA,NA,NA,NA,18.38,13.13,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),336289,Mapleview Heights Elementary School,Public,Not applicable,Elementary,English,JK-8,NA,NA,180 Esther,Barrie,Barrie,Ontario,L4N9S9,705-725-7980,705-725-7979,http://mht.scdsb.on.ca,http://www.scdsb.on.ca, 622 ,44.34957,-79.6473,4,100,SP,1.8,14.8,SP,80%,NA,87%,NA,69%,NA,81%,NA,72%,NA,38%,NA,NA,NA,NA,NA,NA,NA,10.13,30.89,0.889,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),337862,Marchmont Public School,Public,Not applicable,Elementary,English,JK-8,NA,2,1902 DIVISION,Orillia,ORILLIA,Ontario,L3V6H2,705-326-7652,705-326-8226,http://mar.scdsb.on.ca,http://www.scdsb.on.ca, 338 ,44.626,-79.50061,SP,100,NA,NA,15.4,SP,65%,NA,70%,NA,56%,NA,82%,NA,78%,NA,30%,NA,NA,NA,NA,NA,NA,NA,4.84,34.9,1,1,Dec-04-17
B66109,Simcoe County DSB,Pub Dist Sch Brd (E/F),366544,Minesing Central Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,7 Huron,Springwater,Minesing,Ontario,L9X1J2,705-728-1944,705-728-9861,http://min.scdsb.on.ca,http://www.scdsb.on.ca, 489 ,44.44286,-79.84018,SP,100,NA,SP,9.6,SP,79%,NA,76%,NA,67%,NA,92%,NA,83%,NA,68%,NA,NA,NA,NA,NA,NA,NA,18.69,23.16,1,1,Dec-04-17
